ID Corso,Titolo Corso,Docente,Tipologia,Disciplina,Periodo,Giorno della settimana,Orario,Anno Scolastico destinatario,Indirizzo,Posti disponibili,Prerequisiti,Competenze in uscita,Descrizione
001,Modellazione 3D e rendering fotorealistico in architettura con Archicad.,Mario Santangelo,UDA - Moduli Curricolari Pomeridiani,ARCHITETTURA,TRIMESTRE,MERCOLEDÌ,,Triennio,"Architettura
Design",20,,"disciplina: ARCHITETTURA, competenza: Comprendere i fondamenti della modellazione BIM (Building Information Modeling); Comprendere il concetto di modello parametrico e informativo dell’edificio; Creare e gestire modelli architettonici tridimensionali; Organizzare e documentare il progetto;  Visualizzare e presentare il progetto; 
","Il corso è finalizzato alla formazione sull’uso di Archicad per la modellazione 3D di progetti architettonici e la realizzazione di rendering fotorealistici.
I partecipanti, attraverso un approccio laboratoriale, saranno guidati nella creazione di un modello tridimensionale completo, fino alla produzione di render utilizzabili per presentazioni, concorsi o progetti esecutivi. Si approfondirà inoltre l’uso di illuminazione e materiali per definire in modo realistico l’ambiente costruito."
002,Dare forma allo spazio,Salvatore Rugino,UDA - Moduli Curricolari Pomeridiani,ARCHITETTURA,TRIMESTRE,MERCOLEDÌ,,"Seconde
Terze",Tutti,25,Disegno tecnico e a mano libera,"disciplina: ARCHITETTURA, competenza: Pensiero progettuale (design thinking)
","Il corso invita gli studenti a esplorare il rapporto tra arte, forma e ambiente, sviluppando progetti che trasformano lo spazio in esperienza. Attraverso esercitazioni pratiche, analisi di opere contemporanee e sperimentazioni materiche, si imparerà a progettare spazi che comunicano, accolgono e raccontano. Un percorso tra scultura, installazione e architettura, dove l'idea prende corpo e il vuoto diventa linguaggio."
003,Laboratorio Strutturale,Gionata Tiengo,UDA - Moduli Curricolari Pomeridiani,ARCHITETTURA,TRIMESTRE,LUNEDÌ,,Triennio,Architettura,15,,"disciplina: ARCHITETTURA, competenza: Saper leggere e interpretare le relazioni tra aspetti morfologico-progettuali e statico-strutturali
","Architettura e costruzione: ragionamenti ed esperimenti sul costruire.
Prove ed esperienze pratiche di sistemi costruttivi.
Materiali, tecniche e sperimentazioni."
004,Laboratorio Strutturale,Gionata Tiengo,UDA - Moduli Curricolari Pomeridiani,ARCHITETTURA,PENTAMESTRE,LUNEDÌ,,Triennio,Architettura,15,,"disciplina: ARCHITETTURA, competenza: Saper leggere e interpretare le relazioni tra aspetti morfologico-progettuali e statico-strutturali
","Architettura e costruzione: ragionamenti ed esperimenti sul costruire.
Prove ed esperienze pratiche di sistemi costruttivi.
Materiali, tecniche e sperimentazioni."
005,LA BOTTEGA DEI COLORI. Laboratorio di chimica e arte: creazione e utilizzo dei pastelli soffici,Anna Strada,UDA - Moduli Curricolari Pomeridiani,"CHIMICA
PITTORICHE",TRIMESTRE,GIOVEDÌ,,Triennio,Tutti,20,Esperienza con tecniche pittoriche di base,"disciplina: CHIMICA, competenza: Attraverso laboratori pratici, gli studenti saranno coinvolti in prima persona nella creazione di pastelli soffici.. Sperimentando direttamente le diverse fasi di produzione, dalla scelta dei materiali alla manipolazione delle sostanze, comprenderanno in modo più approfondito i processi chimici e tecnologici alla base della realizzazione dei colori.
disciplina: CHIMICA, competenza: L'approccio laboratoriale promuoverà lo sviluppo di competenze chiave quali la manipolazione sicura di strumenti e sostanze, l'osservazione attenta dei fenomeni e l'interpretazione dei risultati. Inoltre, il lavoro di gruppo favorirà lo scambio di idee e la condivisione delle conoscenze, stimolando il pensiero critico e la capacità di risolvere problemi.
disciplina: PITTORICHE, competenza: sperimentare e saper utilizzare la tecnica pittorica del pastello soffice applicata al disegno di paesaggio.
","Dalla chimica all’arte: gli studenti vivranno un’esperienza unica tra scienza e creatività, creando, in un vero laboratorio di chimica, pastelli soffici con pigmenti come Bianco di Titanio, Blu di Prussia e Nero di Marte. Dopo aver  confezionato i gessetti in un packaging studiato ad hoc, impareranno, passo dopo passo, la tecnica del pastello soffice e realizzeranno un paesaggio ispirato ai toni marini."
006,LA BOTTEGA DEI COLORI. Laboratorio di chimica e arte: creazione e utilizzo dei pastelli soffici,Anna Strada,UDA - Moduli Curricolari Pomeridiani,"CHIMICA
PITTORICHE",PENTAMESTRE,GIOVEDÌ,,Triennio,Tutti,20,Esperienza con tecniche pittoriche di base,"disciplina: CHIMICA, competenza: Attraverso laboratori pratici, gli studenti saranno coinvolti in prima persona nella creazione di pastelli soffici.. Sperimentando direttamente le diverse fasi di produzione, dalla scelta dei materiali alla manipolazione delle sostanze, comprenderanno in modo più approfondito i processi chimici e tecnologici alla base della realizzazione dei colori.
disciplina: CHIMICA, competenza: L'approccio laboratoriale promuoverà lo sviluppo di competenze chiave quali la manipolazione sicura di strumenti e sostanze, l'osservazione attenta dei fenomeni e l'interpretazione dei risultati. Inoltre, il lavoro di gruppo favorirà lo scambio di idee e la condivisione delle conoscenze, stimolando il pensiero critico e la capacità di risolvere problemi.
disciplina: PITTORICHE, competenza: sperimentare e saper utilizzare la tecnica pittorica del pastello soffice applicata al disegno di paesaggio.
","Dalla chimica all’arte: gli studenti vivranno un’esperienza unica tra scienza e creatività, creando, in un vero laboratorio di chimica, pastelli soffici con pigmenti come Bianco di Titanio, Blu di Prussia e Nero di Marte. Dopo aver  confezionato i gessetti in un packaging studiato ad hoc, impareranno, passo dopo passo, la tecnica del pastello soffice e realizzeranno un paesaggio ispirato ai toni marini."
007,TITOLO DEL PROGETTO LA BOTTEGA DEI COLORI -  Laboratorio di chimica e arte: creazione e utilizzo dei pastelli soffici,Giuliana Scagliusi,UDA - Moduli Curricolari Pomeridiani,"CHIMICA
PITTORICHE",TRIMESTRE,GIOVEDÌ,,Triennio,Tutti,20,- Esperienza con tecniche pittoriche di base,"disciplina: CHIMICA, competenza: Attraverso laboratori pratici, gli studenti saranno coinvolti in prima persona nella creazione di pastelli soffici. Sperimentando direttamente le diverse fasi di produzione, dalla scelta dei materiali alla manipolazione delle sostanze, comprenderanno in modo più approfondito i processi chimici e tecnologici alla base della realizzazione dei colori.
disciplina: CHIMICA, competenza: L'approccio laboratoriale promuoverà lo sviluppo di competenze chiave quali la manipolazione sicura di strumenti e sostanze, l'osservazione attenta dei fenomeni e l'interpretazione dei risultati. Inoltre, il lavoro di gruppo favorirà lo scambio di idee e la condivisione delle conoscenze, stimolando il pensiero critico e la capacità di risolvere problemi.
disciplina: PITTORICHE, competenza: Sperimentare e saper utilizzare la tecnica pittorica del pastello soffice applicata al disegno di paesaggio
","Dalla chimica all’arte: gli studenti vivranno un’esperienza unica tra scienza e creatività creando in un vero laboratorio di chimica, pastelli soffici con pigmenti come Bianco di Titanio, Blu di Prussia e Nero di Marte. Dopo aver  confezionato i gessetti in un packaging studiato ad hoc, impareranno passo dopo passo la tecnica del pastello soffice e realizzeranno un paesaggio ispirato ai toni marini."
008,TITOLO DEL PROGETTO LA BOTTEGA DEI COLORI -  Laboratorio di chimica e arte: creazione e utilizzo dei pastelli soffici,Giuliana Scagliusi,UDA - Moduli Curricolari Pomeridiani,"CHIMICA
PITTORICHE",PENTAMESTRE,GIOVEDÌ,,Triennio,Tutti,20,- Esperienza con tecniche pittoriche di base,"disciplina: CHIMICA, competenza: Attraverso laboratori pratici, gli studenti saranno coinvolti in prima persona nella creazione di pastelli soffici. Sperimentando direttamente le diverse fasi di produzione, dalla scelta dei materiali alla manipolazione delle sostanze, comprenderanno in modo più approfondito i processi chimici e tecnologici alla base della realizzazione dei colori.
disciplina: CHIMICA, competenza: L'approccio laboratoriale promuoverà lo sviluppo di competenze chiave quali la manipolazione sicura di strumenti e sostanze, l'osservazione attenta dei fenomeni e l'interpretazione dei risultati. Inoltre, il lavoro di gruppo favorirà lo scambio di idee e la condivisione delle conoscenze, stimolando il pensiero critico e la capacità di risolvere problemi.
disciplina: PITTORICHE, competenza: Sperimentare e saper utilizzare la tecnica pittorica del pastello soffice applicata al disegno di paesaggio
","Dalla chimica all’arte: gli studenti vivranno un’esperienza unica tra scienza e creatività creando in un vero laboratorio di chimica, pastelli soffici con pigmenti come Bianco di Titanio, Blu di Prussia e Nero di Marte. Dopo aver  confezionato i gessetti in un packaging studiato ad hoc, impareranno passo dopo passo la tecnica del pastello soffice e realizzeranno un paesaggio ispirato ai toni marini."
009,Dallo scarto al design,Francesca Floridia,UDA - Moduli Curricolari Pomeridiani,DESIGN,PENTAMESTRE,MERCOLEDÌ,,Tutti,Tutti,20,,"disciplina: DESIGN, competenza: 
","Il laboratorio “Dallo scarto al design” si propone di avvicinare gli studenti del biennio e del triennio ai temi della sostenibilità e della creatività responsabile, trasformando materiali di recupero in oggetti di design unici e originali. L’attività nasce dall’idea che anche ciò che viene comunemente considerato uno scarto possa trasformarsi, attraverso il progetto artistico, in una risorsa valorizzata."
010,Luce su Misura: Design e Prototipazione Digitale di Paralumi,Gianandrea Piccinini,UDA - Moduli Curricolari Pomeridiani,DESIGN,TRIMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ
VENERDÌ",,Triennio,Tutti,16,"Conoscenza elementare dell’uso del computer (gestione file, installazione software).
Esperienza minima con software di grafica o modellazione 2D/3D (anche solo a livello scolastico, ad esempio SketchUp, Tinkercad, Fusion360 o simili).
Capacità di utilizzare strumenti digitali per la ricerca e la documentazione (browser, presentazioni, fogli di testo).","disciplina: DESIGN, competenza: Progettuale: gestione autonoma del processo, applicazione del Design Thinking, documentazione
disciplina: DESIGN, competenza: Tecnica: uso di software e strumenti, conoscenza materiali e tecnologie, soluzioni tecniche
disciplina: DESIGN, competenza: Analitica/Critica: analisi dei bisogni e del contesto, valutazione critica e revisione
","Un percorso didattico immersivo per allenare creatività, competenze tecniche e capacità progettuale che intende trasformare le idee in soluzioni concrete attraverso il Design Thinking e la prototipazione digitale. In questo laboratorio pratico si andrà a sviluppare e realizzare un paralume personalizzato, esplorando tutte le fasi del processo creativo: dall’analisi dei bisogni dell’utente alla realizzazione fisica tramite stampa 3D e lasercutter."
